s/n,sample_index,sentence,pred_pair_index,pred_cause,pred_effect,pred_causality,pred_sententiality,best_gold_pair_index,gold_cause,gold_effect,gold_causality,gold_sententiality,exact_match,soft_token_overlap_match,soft_pair_score,pred_causality_norm,gold_causality_norm,pred_sententiality_norm,gold_sententiality_norm
8084,0,"This study provides evidence to support a causal association of higher insulin levels, independently of BMI, with endometrial cancer risk",0,higher insulin levels,endometrial cancer risk,Explicit,Intra,0,high insulin level,An increase risk of endometrial cancer,Explicit,Intra,0,1,0.5416666666666666,Explicit,Explicit,Intra,Intra
22166,1,"Most studies are correlational, making it difficult to infer causality. While the positive findings of green space on QoL are consistent, specific features of the built environment show inconsistent results. Overall perception of the built environment, such as neighborhood satisfaction, also shows more robust results compared to perceptions of specific features of the built environment. Due to the heterogeneity of both built environment and QoL measures, consistent definitions of both concepts will help advance this area of research",0,heterogeneity of both built environment and QoL measures,consistent definitions of both concepts,Explicit,Intra,0,heterogeneity of both built environment and QoL measures,consistent definitions of both concepts will help advance this area of research,Explicit,Intra,0,1,0.7941176470588236,Explicit,Explicit,Intra,Intra
2892,2,"Our study reveals a significant link between the TyG index and its related indicators with new-onset hypertension in prehypertensive populations. Causal analysis using BWMR confirmed that genetically elevated TyG index levels increase the risk of new-onset hypertension. These results highlight the importance of monitoring TyG-related indices for early detection and intervention in high-risk individuals, aiding in the prevention of hypertension progression",0,genetically elevated TyG index levels,increase the risk of new-onset hypertension,Explicit,Intra,0,genetically elevated TyG index levels,increase the risk of new-onset hypertension,Implicit,Intra,1,1,1.0,Explicit,Implicit,Intra,Intra
154,3,"A ruptured uterus is a life-threatening obstetric complication that remains a major public health concern in low-income countries, particularly in Africa. It is a significant cause of maternal and perinatal morbidity and mortality. In Uganda, the prevalence remains high largely because most women do not deliver in health facilities. Further review of this problem may be helpful in the development of appropriate preventive strategies",0,a ruptured uterus,life-threatening obstetric complication,Implicit,Intra,0,A ruptured uterus,maternal morbidity,Explicit,Inter,0,1,0.5,Implicit,Explicit,Intra,Inter
154,3,"A ruptured uterus is a life-threatening obstetric complication that remains a major public health concern in low-income countries, particularly in Africa. It is a significant cause of maternal and perinatal morbidity and mortality. In Uganda, the prevalence remains high largely because most women do not deliver in health facilities. Further review of this problem may be helpful in the development of appropriate preventive strategies",1,a ruptured uterus,major public health concern,Implicit,Intra,0,A ruptured uterus,maternal morbidity,Explicit,Inter,0,1,0.5,Implicit,Explicit,Intra,Inter
154,3,"A ruptured uterus is a life-threatening obstetric complication that remains a major public health concern in low-income countries, particularly in Africa. It is a significant cause of maternal and perinatal morbidity and mortality. In Uganda, the prevalence remains high largely because most women do not deliver in health facilities. Further review of this problem may be helpful in the development of appropriate preventive strategies",2,a ruptured uterus,significant cause of maternal and perinatal morbidity and mortality,Implicit,Intra,0,A ruptured uterus,maternal morbidity,Explicit,Inter,0,1,0.6818181818181818,Implicit,Explicit,Intra,Inter
154,3,"A ruptured uterus is a life-threatening obstetric complication that remains a major public health concern in low-income countries, particularly in Africa. It is a significant cause of maternal and perinatal morbidity and mortality. In Uganda, the prevalence remains high largely because most women do not deliver in health facilities. Further review of this problem may be helpful in the development of appropriate preventive strategies",3,most women do not deliver in health facilities,high prevalence of ruptured uterus,Implicit,Inter,4,most women do not deliver in health facilities,the prevalence of ruptured uterus remains high,Explicit,Inter,0,1,0.9545454545454546,Implicit,Explicit,Inter,Inter
107,4,"In this sample, diabetes was associated with poorer cognitive ability in old age but this was because of life-long lower cognitive ability in people with diabetes instead of diabetes impairing cognitive functioning",0,diabetes,poorer cognitive ability in old age,Implicit,Intra,0,life-long lower cognitive ability in people with diabetes,diabetes was associated with poorer cognitive ability in old age,Explicit,Intra,0,1,0.48611111111111105,Implicit,Explicit,Intra,Intra
107,4,"In this sample, diabetes was associated with poorer cognitive ability in old age but this was because of life-long lower cognitive ability in people with diabetes instead of diabetes impairing cognitive functioning",1,life-long lower cognitive ability in people with diabetes,poorer cognitive ability in old age,Explicit,Intra,0,life-long lower cognitive ability in people with diabetes,diabetes was associated with poorer cognitive ability in old age,Explicit,Intra,0,1,0.875,Explicit,Explicit,Intra,Intra
12981,5,"In absences an initial cortico-cortical spread leads to dynamic lag changes to include periods of isochronous interhemispheric synchronisation, which we hypothesize is mediated by the thalamus",0,absences,initial cortico-cortical spread,Implicit,Intra,0,initial cortico-cortical spread in absences,dynamic lag changes to include periods of isochronous interhemispheric synchronisation,Explicit,Intra,0,1,0.16666666666666669,Implicit,Explicit,Intra,Intra
12981,5,"In absences an initial cortico-cortical spread leads to dynamic lag changes to include periods of isochronous interhemispheric synchronisation, which we hypothesize is mediated by the thalamus",1,initial cortico-cortical spread,dynamic lag changes,Implicit,Intra,0,initial cortico-cortical spread in absences,dynamic lag changes to include periods of isochronous interhemispheric synchronisation,Explicit,Intra,0,1,0.6057692307692307,Implicit,Explicit,Intra,Intra
12981,5,"In absences an initial cortico-cortical spread leads to dynamic lag changes to include periods of isochronous interhemispheric synchronisation, which we hypothesize is mediated by the thalamus",2,dynamic lag changes,periods of isochronous interhemispheric synchronisation,Implicit,Intra,0,initial cortico-cortical spread in absences,dynamic lag changes to include periods of isochronous interhemispheric synchronisation,Explicit,Intra,0,1,0.3333333333333333,Implicit,Explicit,Intra,Intra
25754,6,This study demonstrated a causal relationship between the intake of dark chocolate and sweet peppers and a lower risk of OC. The components of dark chocolate could have different effects,0,intake of dark chocolate,lower risk of OC,Explicit,Intra,0,the intake of dark chocolate and sweet peppers,a lower risk of OC.,Implicit,Intra,0,1,0.8636363636363636,Explicit,Implicit,Intra,Intra
25754,6,This study demonstrated a causal relationship between the intake of dark chocolate and sweet peppers and a lower risk of OC. The components of dark chocolate could have different effects,1,intake of sweet peppers,lower risk of OC,Explicit,Intra,0,the intake of dark chocolate and sweet peppers,a lower risk of OC.,Implicit,Intra,0,1,0.8636363636363636,Explicit,Implicit,Intra,Intra
20497,8,This study provides the causal relationship between genetically predicted circulating vitamin D levels and MG and provides new insights into the genetics of MG,0,genetically predicted circulating vitamin D levels,MG,Explicit,Intra,0,genetically predicted circulating vitamin D levels,MG,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
16577,9,"HAU had a causal effect on ARPV in adolescence and young adulthood. This effect was not moderated by OPV at either developmental stage. A shared etiology or common latent factor did not explain associations between ARPV, OPV, and HAU, even though ARPV strongly covaried independently with HAU and with OPV. Finally, OPV also had a causal effect on ARPV in adolescence, and in young adulthood for adolescent-onset drinkers",0,HAU,ARPV,Explicit,Intra,0,HAU,ARPV in adolescence,Explicit,Intra,0,1,0.75,Explicit,Explicit,Intra,Intra
16577,9,"HAU had a causal effect on ARPV in adolescence and young adulthood. This effect was not moderated by OPV at either developmental stage. A shared etiology or common latent factor did not explain associations between ARPV, OPV, and HAU, even though ARPV strongly covaried independently with HAU and with OPV. Finally, OPV also had a causal effect on ARPV in adolescence, and in young adulthood for adolescent-onset drinkers",1,OPV,ARPV,Explicit,Inter,2,OPV,ARPV in adolescence,Explicit,Intra,0,1,0.75,Explicit,Explicit,Inter,Intra
10394,10,"There is published evidence to establish a causal relationship between estrogens in the environment and breast cancer. However, there are serious gaps in our knowledge about estrogen levels in the environment and a call is required for a world wide effort to provide more data on many more samples sites. Of the data available, the synthetic estrogen, ethinyl estradiol, is more persistent in the environment than natural estrogens and may be a greater cause for environmental concern. Finally, we believe that there is an urgent requirement for inter-disciplinary studies of estrogens in order to better understand their ecological and environmental impact",0,estrogens in the environment,breast cancer,Explicit,Intra,0,Estrogens in the environment,Breast cancer,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
