S/N,Sentences,Cause1,Effect1,Label
1,"Although most target genes of P. gingivalis two-component systems are unknown, the role of the FimS/FimR in expression of the fimA gene is well defined.",,,Non-Causal
2,"The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system that is required for virulence in mice (Gunn et al., 2000), infection of chicken macrophages (Zhao et al., 2002), growth in soil (Chamnongpol et al., 2002), resistance to the cationic peptide antibiotic polymyxin B (Roland et al., 1993) and resistance to Fe3+- (Wosten et al., 2000) and Al3+-mediated killing (Nishino et al., 2006).",The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system,growth in soil,Causal
3,"To determine the stage at which DeltabfiS and DeltabfmR mutant biofilms were arrested, the biofilm architecture of the mutant strains after 144 hr of growth was compared to the wild type P. aeruginosa biofilm architecture following 24, 72, and 144 hr of growth (Table 2).",,,Non-Causal
4,OmpR has been shown to respond to acidic pH via cadC [77].,,,Non-Causal
5,"Up to now, BvrR/BvrS is the best characterized two-component regulatory system of Brucella [2]-[4].",,,Non-Causal
6,"We investigated whether PmrB was also required for the pH-dependent induction of pbgP, which was chosen as a prototypical PmrA-activated gene because the PmrA protein binds to the pbgP promoter in vitro (Wosten and Groisman, 1999) and in vivo (Shin and Groisman, 2005).",,,Non-Causal
7,Results Microarray-Based Comparative Genome Sequencing of M. tuberculosis H37Ra The genome-wide comparative mutational analysis of H37Ra and H37Rv was carried out by NimbleGen Systems following a previously published method [13].,,,Non-Causal
8,This lower hinge region is not well conserved in the seven subgroups of horse IgG [17] (Table 1).,,,Non-Causal
9,"The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system that is required for virulence in mice (Gunn et al., 2000), infection of chicken macrophages (Zhao et al., 2002), growth in soil (Chamnongpol et al., 2002), resistance to the cationic peptide antibiotic polymyxin B (Roland et al., 1993) and resistance to Fe3+- (Wosten et al., 2000) and Al3+-mediated killing (Nishino et al., 2006).",The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system,Al3+-mediated killing,Causal
10,Putative SNPs with high probability scores were separated into synonymous and non-synonymous SNPs of which the latter were verified by conventional dye terminator cycle sequencing.,,,Non-Causal
11,"These genes encode an LPS modification pathway required for the addition of aminoarabinose to lipid A, which reduces the OM permeability to CAPs [48].",,,Non-Causal
12,"To our knowledge, this is the first description of a regulatory program for stage-specific biofilm development.",,,Non-Causal
13,The results showed that the mutant strain was no more susceptible to growth inhibition than was wild type Erdman under all of the stress conditions tested (Figure S2).,,,Non-Causal
14,"The multiple promoters located within SPI-2 presumably respond to differences in ssrB/slyA activation, perhaps establishing part of the temporal order of expression following phagocytosis of Salmonella.",,,Non-Causal
15,"However, Y. pestis is constitutively nonmotile, and synthesis of the Hms-dependent biofilm ECM is regulated post-translationally [26].",,,Non-Causal
16,"As the expression pattern changes with time after infection we computed the difference for each time as well as an average for all three-time points reported (4, 8, and 12 hours after infection).",,,Non-Causal
17,SeMac has endopeptidase activity against human IgG.,,,Non-Causal
18,The gel mobility shift assay and footprinting analysis revealed that Mlc repressed hilE in a direct manner by binding to two distinct sites in the hilE P3 promoter region.,by binding to two distinct sites in the hilE P3 promoter region,Mlc repressed hilE in a direct manner,Causal
19,The hyaluronic acid capsule and S. equi M-like protein (SeM) are both required for the resistance to phagocytosis by PMNs [16-17].,,,Non-Causal
20,Our data clearly demonstrate that Mlc directly regulates hilE expression by binding to the hilE P3 promoter (Figure 5).,by binding to the hilE P3 promoter,Mlc directly regulates hilE expression,Causal
21,A GroEL homologue is present in P. luminescens (Plu4134) which the P. luminescens UspG homologues might interact with.,,,Non-Causal
22,"Additionally, the over-expression of HilD from the plasmid pJB3 containing hilD gene under the control of a lac promoter caused the induction of hilA by approximately2-fold and invF by approximately6-fold irrespective of hilE or mlc mutation when real-time PCR was used to compare the expression levels (data not shown).",the over-expression of HilD from the plasmid pJB3 containing hilD gene under the control of a lac promoter,the induction of hilA by approximately2-fold and invF by approximately6-fold irrespective of hilE or mlc mutation when real-time PCR was used to compare the expression levels,Causal
23,"The transcriptional start site of the mfa1 gene located at 434 bp upstream of the putative start codon was detected, which is also 390 bp upstream of the site previously reported (Park et al., 2006).",,,Non-Causal
24,These results indicate that the periplasmic glutamates are required for responding to mild acid pH.,,,Non-Causal
25,"Furthermore, both insecticidal bacteria produce a chitin-binding-like protein (Plu2352, YE3576), but chitinase-like proteins (Plu2235, Plu2458 and Plu2461) are without homologues in Y. enterocolitica.",,,Non-Causal
26,The cheB1 mutant was used to feed C. elegans in the slow killing assay and the survival percentage was compared to those obtained when using the cheB2 mutant or the parental TB strain (Figure 3C).,The cheB1 mutant was used to feed C. elegans in the slow killing assay and the survival percentage was compared to those obtained when using the cheB2 mutant or the parental TB strain,"Interestingly, the cheB1 mutant showed no significant reduction in C. elegans killing when compared to the parental TB strain, with only 36% of the worms alive after 4 days post infection",Causal
27,"SseL was immunoprecipitated specifically along with SrcA-FLAG with a SILAC ratio of 0.08, whereas additional abundant proteins displayed SILAC ratios closer to approximately1 (OmpF is shown, Fig. 5B) (mean SILAC ratio of all other peptides identified was 0.93 (Dataset S1).",,,Non-Causal
28,"This medium lacked Fe3+ or Al3+, the only known PmrB ligands (Wosten et al., 2000), and contained 10 mM MgCl2, which represses expression of PmrA-activated genes (Soncini and Groisman, 1996; Kox et al., 2000).","This medium lacked Fe3+ or Al3+, the only known PmrB ligands (Wosten et al., 2000), and contained 10 mM MgCl2",which represses expression of PmrA-activated genes,Causal
29,"In total, the absence of SalK/SalR led to decreased expression of 26 genes spread throughout the genome (i.e. 1.2% of the 2194 tested).",the absence of SalK/SalR,decreased expression of 26 genes spread throughout the genome (i.e. 1.2% of the 2194 tested),Causal
30,SeMac indeed inhibits the opsonophagocytosis of GAS by human PMNs (Fig. 5B).,,,Non-Causal
31,The sequential phosphorylation of sensors/regulatory proteins is reminiscent of a regulatory cascade in which each phosphorylation event acts as a trigger for bacterial biofilm cells to transition to the next developmental stage (Fig. 6).,,,Non-Causal
32,"In this study, cluster analysis was used to identify genes that show similar expression profiles under a variety of environmental conditions and from the isogenic Salmonella regulatory mutants we describe.","In this study, cluster analysis was used to identify genes that show similar expression profiles under a variety of environmental conditions and from the isogenic Salmonella regulatory mutants we describe",application of the CLR algorithm identified a very interesting group of genes that are co-regulated with SPI-2 and were horizontally transferred to Salmonella,Causal
33,"Results Deletion of rpoE affects a subset of SsrB-regulated virulence genes Salmonella virulence gene expression is coordinated in vivo and may be regulated, in part, by alternative sigma factor(s) in order to quickly respond to the host environment.",,,Non-Causal
34,A number of overlapping cosmid clones that gave enhanced growth and survival in the spleens of infected mice relative to that of wild-type H37Ra were identified [9].,,,Non-Causal
35,"Glucose and mannose induce the Mlc regulon (39) by dephosphorylating EIICBGlc, which then sequesters Mlc from its binding sites (27,43).",by dephosphorylating EIICBGlc,Glucose and mannose induce the Mlc regulon,Causal
36,"In this study, we characterized the Y. pestis transcriptome in blocked Xenopsylla cheopis rat fleas, an important vector of plague to humans.",,,Non-Causal
